Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Gabon,Import,  All Products,Import (US$ Thousand),5282.852,14816.205,9771.638,18803.69,18432.468,38151.571,44833.533,104791.785,84030.344,206256.889,168300.263,320171.183,69321.761,852052.161,918952.635,784444.584,116296.804,64463.992,262090.931181207,647032.757014191,150661.495781806,317125.974144432,994248.747612925
India,"Gambia, The",Import,  All Products,Import (US$ Thousand),636.04,228.715,537.039,4404.203,3813.162,11270.597,12664.831,17342.843,15418.011,29014.671,24189.784,14717.056,39107.016,27452.035,33402.124,36162.731,32020.575,42526.882,57312.480907908095,47629.5016947035,40924.0624001825,38785.9311806916,41160.7824118692
India,Georgia,Import,  All Products,Import (US$ Thousand),12.447,181.89,422.299,3857.223,7138.202,13779.079,17598.184,78098.311,10228.531,16232.871,8688.006,28317.242,65206.007,54907.292,22947.613,26052.529,21387.222,30251.1,30878.2011468209,25253.6338078786,13138.5834616575,79793.928713635,30926.5468967539
India,Germany,Import,  All Products,Import (US$ Thousand),1851714.828,1816255.884,1906412.423,2310591.58,2788134.998,3561282.787,5551809.657,7187473.879,8783955.031,11418567.837,10969452.167,11444687.268,14901182.436,14765654.299,13079266.246,12706867.416,11829031.24,11499371.351,12665121.1783482,16924804.237330202,12272542.6236309,9684429.128341788,12965243.465555599
India,Ghana,Import,  All Products,Import (US$ Thousand),11351.939,25658.595,20042.712,20298.205,34579.8,41289.089,74452.729,87793.838,130635.804,197262.608,133401.593,156601.302,384733.915,281040.948,261054.47,805114.008,3219587.232,1449129.771,2763199.04744722,4302282.29241078,2494172.83188092,1206216.69289993,1588942.97352165
India,Gibraltar,Import,  All Products,Import (US$ Thousand),,,,426.716,,3.85,5.081,356.553,48.035,181.426,4.197,11786.94,61.954,2.791,226.101,0.344,,,5.59894069737,32.6110568096,996.5052469435,350.4583737542,280.35394818615
India,Greece,Import,  All Products,Import (US$ Thousand),27041.173,20677.708,34205.533,21732.754,48440.695,19386.554,41845.573,70652.094,58421.277,129350.816,152730.459,89528.128,115706.141,107034.985,108246.949,131225.139,114535.67,95580.561,100856.59722306,175116.195678138,121557.933063023,130310.412626711,291766.058757047
India,Greenland,Import,  All Products,Import (US$ Thousand),,,74.21,34.864,0.585,1.394,11.407,30.832,0.142,3.266,158.548,38.071,23.545,56.974,0.184,1.486,165.224,107.74,10.65992277078,,,6.152825371900001,9.2883780726
India,Grenada,Import,  All Products,Import (US$ Thousand),92.758,9.347,8.17,293.057,10.381,148.253,,218.344,4.831,66.589,50.249,57.598,2.141,22.774,,2.37,,,247.4963145486,397.76584219616,596.6207285710001,420.2247085121,757.34267946255
India,Guam,Import,  All Products,Import (US$ Thousand),,,,27.133,,,496.401,1071.713,18.666,395.919,,29.875,29.216,0.452,,2.36,,,,2.48597216112,1.7068654890000001,11.1662737683,94.64070694935
India,Guatemala,Import,  All Products,Import (US$ Thousand),929.195,243.865,201.826,2824.001,571.23,483.206,2030.111,1648.274,2892.302,3947.181,4090.369,39200.994,7824.182,6967.16,13336.521,16903.179,13580.039,18015.837,17567.591885158,20291.7382198093,21275.2944086077,21024.7749531165,22392.7526426469
India,Guinea,Import,  All Products,Import (US$ Thousand),4791.347,4802.986,5122.919,13086.702,15528.797,26555.173,20192.716,226953.622,762203.5,326946.896,63643.374,359514.343,124075.644,210894.059,588797.345,569788.135,472858.253,254188.348,505635.029376527,509276.073297885,394406.91785721097,1006909.93341299,3446686.9200183903
